Transaction ID,Approved Transactions,Arrival Time,Exit Probability,Agent ID,Cumulative Weight Multi-Agent,Exit Probability Multi-Agent,Confirmation Confidence Multi-Agent
109,[104],110.35040229396269,0,2,"{2: 1, 0: 1, 1: 1, 3: 1}","{0: 1.810642531266616e-20, 1: 1.810642531266616e-20, 2: 1.5731650905087082e-20, 3: 1.4498095300807328e-20}",{}
110,"[108, 104]",110.97353996181734,0,2,"{2: 91, 0: 91, 1: 91, 3: 91}","{0: 0.8551558688207536, 1: 0.8551558688207536, 2: 0.9103528595433352, 3: 0.8087830544277024}",{}
111,[110],113.72373820557416,0,2,"{0: 87, 1: 87, 2: 87, 3: 87}","{0: 0.22998683485354654, 1: 0.4275779344103768, 2: 0.4551764297716676, 3: 0.4043915272138512}",{}
112,"[110, 107]",114.70438756969372,0,0,"{0: 89, 2: 87, 1: 87, 3: 87}","{0: 0.7700131651464539, 1: 0.5724220655896237, 2: 0.5448235702283326, 3: 0.5956084727861491}",{}
113,"[111, 112]",115.79855653789855,0,0,"{1: 77, 0: 77, 2: 77, 3: 77}","{0: 0.04042718982928098, 1: 0.04939858541905254, 2: 0.05065166321518779, 3: 0.04834583338856075}",{}
114,"[112, 111]",116.37367808503708,0,0,"{1: 82, 0: 82, 2: 82, 3: 82}","{0: 0.4925039959434284, 1: 0.6017979685349022, 2: 0.6170635812186115, 3: 0.5889728232813177}",{}
115,"[111, 112]",116.81217453759766,0,2,"{1: 1, 0: 1, 2: 1, 3: 1}","{0: 2.092331446914376e-18, 1: 2.5566509604510857e-18, 2: 2.621504691055555e-18, 3: 2.5021652000382866e-18}",{}
116,"[111, 112]",117.23499880242473,0,2,"{1: 72, 0: 72, 2: 72, 3: 72}","{0: 0.0033184658215046244, 1: 0.004054882816145475, 2: 0.004157741705316875, 3: 0.0039684676671712495}",{}
117,[112],117.29302292151526,0,1,"{1: 83, 0: 83, 2: 83, 3: 83}","{0: 0.46375034840578655, 1: 0.3447485632299004, 2: 0.32812701386088416, 3: 0.3587128756629508}",{}
118,[112],117.39437034805609,0,1,"{1: 1, 0: 1, 2: 1, 3: 1}","{0: 1.1949720071277098e-18, 1: 8.883333111736114e-19, 2: 8.455036156718282e-19, 3: 9.243159525099351e-19}",{}
119,"[114, 117]",124.0179859050537,0,1,"{0: 81, 1: 81, 2: 81, 3: 81}","{0: 0.956254344349215, 1: 0.9465465317648025, 2: 0.9451905950794957, 3: 0.9476856989442686}",{}
120,"[117, 113]",125.97894226978651,0,0,"{2: 1, 3: 1, 1: 1, 0: 1}","{0: 1.8708625131299535e-17, 1: 2.1305977669536068e-17, 2: 2.1668762340196503e-17, 3: 1.3726477686654415e-17}",{}
121,"[119, 113]",126.79279759849862,0,0,"{3: 1, 2: 1, 1: 1, 0: 1}","{0: 2.259612331286596e-16, 1: 2.2725512908647324e-16, 2: 2.2731910968681944e-16, 3: 1.631086775279261e-16}",{}
122,"[119, 116]",126.82467268554848,0,0,"{3: 71, 2: 71, 0: 71, 1: 71}","{0: 0.20581310894825433, 1: 0.20449381758827345, 2: 0.20419724206652992, 3: 0.1500860212279934}",{}
123,[119],126.85943010629745,0,2,"{2: 61, 3: 60, 0: 60, 1: 60}","{0: 0.0008275493239723747, 1: 0.0008191481137828947, 2: 0.0013478555511573917, 3: 0.0005971490445506115}",{}
124,"[113, 119]",126.86811608963399,0,3,"{3: 74, 0: 73, 1: 73, 2: 73}","{0: 0.5908646986010239, 1: 0.5942480995258159, 2: 0.5944154020210998, 3: 0.7031992761666341}",{}
125,[119],127.47436401986599,0,1,"{2: 71, 0: 71, 1: 71, 3: 71}","{0: 0.2024946431267497, 1: 0.20043893477212799, 2: 0.20003950036121304, 3: 0.14611755356082215}",{}
126,[124],127.95042523400379,0,3,"{3: 73, 2: 72, 0: 72, 1: 72}","{0: 0.5908646986010239, 1: 0.5942480995258159, 2: 0.5944154020210998, 3: 0.7031992761666341}",{}
127,[123],128.27269390733892,0,2,"{2: 60, 0: 60, 1: 60, 3: 60}","{0: 0.0008275493239723747, 1: 0.0008191481137828947, 2: 0.0013478555511573917, 3: 0.0005971490445506115}",{}
128,[126],129.39691431408448,0,3,"{2: 72, 0: 72, 1: 72, 3: 72}","{0: 0.5908646986010239, 1: 0.5942480995258159, 2: 0.5944154020210998, 3: 0.7031992761666341}",{}
